Date	Time	Global_active_power	Global_reactive_power	Voltage	Global_intensity	Sub_metering_1	Sub_metering_2	"Sub_metering_3
"
17/12/2006	4	2,120333333	0,099283333	242,9355833	9,1125	0	6,758333333	0
17/12/2006	8	1,780887967	0,077394191	243,3854772	7,545228216	0	0,410788382	3,369294606
17/12/2006	12	2,628282158	0,148290456	238,150332	11,2340249	4,564315353	8,829875519	8,298755187
17/12/2006	16	2,159020747	0,202680498	240,566971	9,002489627	1,734439834	0,286307054	17,64315353
17/12/2006	20	3,325070539	0,164946058	234,6784647	14,15518672	2,136929461	0,269709544	16,80497925
17/12/2006	24	2,085161826	0,248755187	240,8719917	8,824896266	0	0,887966805	9,2406639
18/12/2006	4	0,296016667	0,12695	245,1874167	1,324166667	0	0,295833333	0
18/12/2006	8	1,091676349	0,116995851	244,3642324	4,558506224	0,020746888	0,273858921	5,937759336
18/12/2006	12	1,640082988	0,084937759	238,5658091	6,836514523	4,390041494	0,265560166	17,35684647
18/12/2006	16	1,732804979	0,09193361	242,3046473	7,123651452	0	0,269709544	17,61410788
18/12/2006	20	2,272	0,145443983	238,3096266	9,556016598	0	2,419087137	13,03319502
18/12/2006	24	2,118921162	0,108215768	238,7773029	9,001659751	0	7,394190871	4,22406639
19/12/2006	4	0,456425	0,086858333	243,5305417	1,985	0	0,504166667	2,220833333
19/12/2006	8	0,802497925	0,091767635	242,1754357	3,466390041	0	0,394190871	1,842323651
19/12/2006	12	2,057045643	0,105618257	239,5939834	8,799170124	3,481327801	19,00414938	5,070539419
19/12/2006	16	0,36386722	0,104124481	243,8010373	1,590871369	0	1,112033195	0,55186722
19/12/2006	20	1,876514523	0,103659751	240,0152697	7,804979253	0	0,419087137	16,0373444
19/12/2006	24	1,36780083	0,13966805	242,8691701	5,839004149	0	10,13278008	0
20/12/2006	4	0,453225	0,098683333	245,33375	1,921666667	0	0,4375	2,158333333
20/12/2006	8	0,591452282	0,108165975	244,6583402	2,499585062	0	0,294605809	1,161825726
20/12/2006	12	2,170846473	0,102049793	241,0211618	9,014937759	0	9,597510373	17,70954357
20/12/2006	16	1,105195021	0,086481328	243,7146473	4,560995851	0	0,199170124	13,09543568
20/12/2006	20	1,777875519	0,107842324	240,7736515	7,495435685	0	0,20746888	6,89626556
20/12/2006	24	3,155850622	0,166431535	238,4270539	13,22904564	0	0,253112033	17,34024896
21/12/2006	4	1,127833333	0,109133333	243,8362083	4,623333333	0	0,254166667	13,37916667
21/12/2006	8	0,533726141	0,071651452	243,7076349	2,2406639	0	0,128630705	0,074688797
21/12/2006	12	1,620150628	0,096853556	239,8171548	6,830125523	5,167364017	2,606694561	9,451882845
21/12/2006	16	0,963211618	0,090207469	242,6779253	4,100414938	0	7,195020747	3,116182573
